total_run,pressure,pressurization_delay,adsorption_delay,depressurization_delay,purge_delay,purity
11,30,5.85,2,4.87,1.54,67.9375
5,30,5.64,2,5.12,1.85,85.775
6,30,6.17,2,4.76,6,55.7125
30,30,6.19,2,5.46,6,95.0625
32,30,6.24,2,5.57,6,95.925
12,30,6.38,2,5.32,6,94.0875
13,30,6.4,2,5.08,6,93.1125
7,30,6.43,2,5.73,6,93.8375
13,30,6.44,2,5.34,6,95.925
10,30,6.45,2,5.63,6,93.9625
17,30,6.52,2,5.75,6,93.8375
23,30,6.71,2,5.27,6,94.7
17,30,5.85,2.06,4.78,1.59,57.0625
76,30,5.6,2.14,5.59,1.14,62.2
8,30,6.27,2.21,5.51,6,95.1875
25,30,5.78,3.07,5.77,3,89.325
49,30,5.65,3.64,5.58,2.64,82.1125
12,30,6.18,3.65,5.46,6,95.8
63,30,5.51,3.74,5.62,1.08,58.0375
1,30,5.81,6.5,5.09,5.5,89.075
1,30,6.05,6.5,5.58,5.5,94.325
1,30,6.06,6.5,5.59,5.5,94.45
1,30,6.06,6.5,6.16,5.5,93.725
1,30,6.17,6.5,5.46,5.5,94.825
1,30,6.19,6.5,5.45,5.5,94.7
23,30,6.14,6.56,4.99,6,91.15
16,30,6.28,6.84,6.34,6,92.625
26,30,5.08,8,5.49,1,52.6625
9,30,5.25,8,5.59,1,56.575
10,30,5.3,8,5.49,1,56.45
18,30,5.32,8,5.85,1,53.4
12,30,5.34,8,5.52,1,54.5
48,30,5.35,8,5.98,1,52.9125
7,30,5.36,8,5.15,1,49.125
11,30,5.36,8,5.19,1,49.2375
72,30,5.38,8,6.03,1,52.6625
4,30,5.52,8,5.07,1,54.9875
16,30,5.6,8,4.98,1,45.2125
32,30,7.22,8,6.59,1,53.525
35,30,5.31,8,5.88,1.59,58.9
41,30,5.32,8,5.77,1.69,60.1125
5,30,5.66,8,6.25,2.29,65.7375
23,30,5.33,8,5.23,3.54,76.8625
27,30,6.09,8,5.71,5.65,89.6875
20,30,5.72,8,5.06,6,70.1375
31,30,5.82,8,5.15,6,88.225
38,30,6.02,8,5.67,6,89.5625
8,30,6.04,8,5.39,6,92.25
13,30,6.04,8,5.47,6,91.6375
59,30,6.11,8,5.81,6,89.5625
39,30,6.11,8,5.87,6,90.175
28,30,6.47,8,6.4,6,86.5125
54,30.01,6.15,5.29,5.69,5.03,94.2125
5,30.01,6.24,8,4.79,4.78,92.8625
6,30.2,6.22,4.61,4.96,4.31,93.8375
16,30.2,5.09,7.73,5.32,1.21,58.1625
11,30.23,6.4,2.36,5.09,5.15,92.375
10,30.24,5.56,2,5.29,1,61.825
69,30.33,5.42,8,5.88,1,52.7875
2,30.36,5.45,5.01,5.27,1,58.65
15,35.59,6.33,8,5.72,1,51.8125
7,36.61,7.67,8,4.82,6,87.975
17,37.86,7.31,8,5.23,6,86.2625
16,37.97,8.02,2,4.83,6,79.425
14,39.54,8.31,2,4.92,6,58.1625
21,40.42,8.61,7.98,5.03,6,95.55
1,45,8.62,6,5.02,3.5,74.175
1,45,9.35,7.5,4.87,5.5,71.475
1,45,9.38,7.5,5.06,5.5,89.6875
34,50,8.9,2,5.24,1,60.725
25,50,8.93,2,5.21,1,61.3375
10,50,8.99,2,5.06,1,64.15
20,50,9.33,2,5.6,1,61.4625
53,50,9.33,2,5.78,1,60.85
3,50,9.38,2,4.88,1,57.8
21,50,9.38,2,5.67,1,61.5875
43,50,9.39,2,5.75,1,60.725
6,50,9.43,2,4.96,1,57.3125
74,50,9.46,2,5.67,1,59.75
22,50,9.73,2,6.17,1,60.4875
21,50,9.77,2,6.29,1,60.6
8,50,9.86,2,4.83,1.12,63.175
19,50,9.8,2,4.88,1.54,59.5125
14,50,10.06,2,5.4,4.21,96.1625
22,50,25.35,2,5.09,5.28,95.8
13,50,10.33,2,5.6,6,95.8
4,50,10.77,2,5.73,6,94.575
9,50,9.36,2.12,5.44,1,64.275
37,50,9.41,2.28,5.71,1,59.75
17,50,9.74,2.5,6.23,1.5,69.1625
7,50,9.55,3.1,4.86,1,53.8875
2,50,9.55,5.22,4.87,1,44.1125
21,50,9.64,7.13,5.41,6,75.6375
33,50,8.66,8,5.48,1,45.9375
4,50,9.04,8,5.31,1,44.1125
31,50,9.08,8,5.95,1,46.4375
73,50,9.11,8,6.13,1,46.1875
28,50,9.17,8,6.03,1,46.8
3,50,9.33,8,5.2,1,48.3875
24,50,10.58,8,6.54,3.64,70.875
11,50,9.78,8,5.8,4.83,81.5
66,50,10.14,8,6.08,6,80.8875
35,50,11.54,8,6.58,6,75.15
31,50,13.19,8,6.48,6,75.5125
